Fecha,Producto,Cantidad,Precio_Unitario,Vendedor,Region,Total,Mes,Trimestre,Categoria_Venta
2023-11-28,Mouse,49,1468.61,María,Sur,71961.89,11,2023Q4,Alta
2023-05-13,Monitor,48,1495.91,Juan,Norte,71803.68,5,2023Q2,Alta
2023-03-21,Monitor,49,1386.82,Pedro,Este,67954.18,3,2023Q1,Alta
2023-05-16,Teclado,49,1376.92,María,Oeste,67469.08,5,2023Q2,Alta
2023-09-05,Laptop,49,1368.66,Pedro,Este,67064.34,9,2023Q3,Alta
2023-09-27,Monitor,49,1257.86,Laura,Norte,61635.14,9,2023Q3,Alta
2023-01-10,Auriculares,42,1452.28,Laura,Sur,60995.76,1,2023Q1,Alta
2023-08-30,Laptop,41,1439.02,María,Oeste,58999.82,8,2023Q3,Alta
2023-07-10,Mouse,43,1362.72,Pedro,Sur,58596.96,7,2023Q3,Alta
2023-12-13,Teclado,38,1483.21,Pedro,Sur,56361.98,12,2023Q4,Alta
